,y
23568,-0.3539381343271214
25668,-0.3539381343271214
34825,-0.3539381343271214
15496,-0.3539381343271214
28569,-0.3539381343271214
24579,-0.3539381343271214
10336,-0.3539381343271214
15695,2.825352520719812
8044,-0.3539381343271214
30026,-0.3539381343271214
5960,-0.3539381343271214
26054,-0.3539381343271214
19811,-0.3539381343271214
37204,-0.3539381343271214
959,-0.3539381343271214
32910,-0.3539381343271214
7139,-0.3539381343271214
390,-0.3539381343271214
35334,-0.3539381343271214
28443,-0.3539381343271214
28768,-0.3539381343271214
30096,2.825352520719812
28016,-0.3539381343271214
12459,-0.3539381343271214
752,-0.3539381343271214
32270,-0.3539381343271214
25973,-0.3539381343271214
18971,-0.3539381343271214
37074,-0.3539381343271214
35211,-0.3539381343271214
1646,-0.3539381343271214
11094,-0.3539381343271214
1176,-0.3539381343271214
3174,-0.3539381343271214
28757,-0.3539381343271214
7794,-0.3539381343271214
2704,-0.3539381343271214
4074,-0.3539381343271214
14404,-0.3539381343271214
28147,2.825352520719812
3252,-0.3539381343271214
8474,-0.3539381343271214
35407,2.825352520719812
6815,-0.3539381343271214
13783,-0.3539381343271214
19731,-0.3539381343271214
20512,-0.3539381343271214
35434,-0.3539381343271214
10858,-0.3539381343271214
27407,-0.3539381343271214
34556,2.825352520719812
20984,-0.3539381343271214
23661,-0.3539381343271214
28826,-0.3539381343271214
22310,-0.3539381343271214
7305,-0.3539381343271214
12797,-0.3539381343271214
22959,-0.3539381343271214
8925,-0.3539381343271214
34592,-0.3539381343271214
3104,-0.3539381343271214
24038,2.825352520719812
26073,-0.3539381343271214
12006,2.825352520719812
21500,-0.3539381343271214
32077,-0.3539381343271214
4249,-0.3539381343271214
11592,-0.3539381343271214
27782,-0.3539381343271214
8283,-0.3539381343271214
16592,-0.3539381343271214
814,-0.3539381343271214
32195,-0.3539381343271214
34251,-0.3539381343271214
13581,2.825352520719812
18122,-0.3539381343271214
18631,2.825352520719812
23957,-0.3539381343271214
5537,-0.3539381343271214
21960,-0.3539381343271214
34794,-0.3539381343271214
21080,-0.3539381343271214
8719,-0.3539381343271214
11819,-0.3539381343271214
12996,-0.3539381343271214
1734,-0.3539381343271214
19045,-0.3539381343271214
24345,-0.3539381343271214
6336,-0.3539381343271214
29891,2.825352520719812
15783,-0.3539381343271214
14981,-0.3539381343271214
33850,-0.3539381343271214
21860,-0.3539381343271214
17787,-0.3539381343271214
29266,-0.3539381343271214
25538,-0.3539381343271214
20696,-0.3539381343271214
36815,2.825352520719812
38113,2.825352520719812
24104,-0.3539381343271214
3693,-0.3539381343271214
17786,-0.3539381343271214
11125,-0.3539381343271214
9086,-0.3539381343271214
3212,-0.3539381343271214
31264,-0.3539381343271214
12907,-0.3539381343271214
22700,-0.3539381343271214
12384,-0.3539381343271214
5058,-0.3539381343271214
22747,-0.3539381343271214
20621,-0.3539381343271214
18625,-0.3539381343271214
30082,-0.3539381343271214
12171,-0.3539381343271214
20491,-0.3539381343271214
29361,-0.3539381343271214
34817,-0.3539381343271214
34773,2.825352520719812
25887,-0.3539381343271214
7309,-0.3539381343271214
13205,2.825352520719812
18986,-0.3539381343271214
16175,-0.3539381343271214
4781,-0.3539381343271214
19172,-0.3539381343271214
153,-0.3539381343271214
36760,2.825352520719812
8175,-0.3539381343271214
9523,-0.3539381343271214
4552,-0.3539381343271214
5735,-0.3539381343271214
4417,-0.3539381343271214
23294,-0.3539381343271214
23984,2.825352520719812
17595,-0.3539381343271214
23463,-0.3539381343271214
7451,-0.3539381343271214
28161,2.825352520719812
11794,-0.3539381343271214
1565,-0.3539381343271214
4084,-0.3539381343271214
10197,-0.3539381343271214
20582,-0.3539381343271214
21335,-0.3539381343271214
2153,-0.3539381343271214
2679,-0.3539381343271214
13526,-0.3539381343271214
20016,-0.3539381343271214
22466,-0.3539381343271214
32183,-0.3539381343271214
20652,-0.3539381343271214
16417,-0.3539381343271214
28226,2.825352520719812
4509,-0.3539381343271214
34618,-0.3539381343271214
3470,-0.3539381343271214
35085,-0.3539381343271214
30584,-0.3539381343271214
28349,-0.3539381343271214
19907,-0.3539381343271214
15242,-0.3539381343271214
34083,-0.3539381343271214
26798,-0.3539381343271214
8191,-0.3539381343271214
2919,-0.3539381343271214
33707,-0.3539381343271214
6983,-0.3539381343271214
19523,-0.3539381343271214
22653,-0.3539381343271214
23520,-0.3539381343271214
13683,-0.3539381343271214
19710,-0.3539381343271214
35725,2.825352520719812
30061,-0.3539381343271214
33477,-0.3539381343271214
13908,-0.3539381343271214
16346,-0.3539381343271214
8789,-0.3539381343271214
30970,-0.3539381343271214
4185,-0.3539381343271214
10738,-0.3539381343271214
25282,-0.3539381343271214
2852,-0.3539381343271214
10463,-0.3539381343271214
32658,-0.3539381343271214
15474,2.825352520719812
18146,-0.3539381343271214
6562,-0.3539381343271214
22010,-0.3539381343271214
21881,-0.3539381343271214
30929,-0.3539381343271214
19553,-0.3539381343271214
4875,-0.3539381343271214
12725,-0.3539381343271214
26183,-0.3539381343271214
37844,2.825352520719812
3910,-0.3539381343271214
27604,2.825352520719812
13008,-0.3539381343271214
2584,-0.3539381343271214
25596,-0.3539381343271214
1084,-0.3539381343271214
25311,-0.3539381343271214
33639,-0.3539381343271214
21519,-0.3539381343271214
34466,2.825352520719812
31697,-0.3539381343271214
8277,-0.3539381343271214
7344,-0.3539381343271214
26844,-0.3539381343271214
13166,-0.3539381343271214
20731,2.825352520719812
18516,-0.3539381343271214
16604,2.825352520719812
4192,-0.3539381343271214
21766,-0.3539381343271214
14218,-0.3539381343271214
7059,2.825352520719812
14899,-0.3539381343271214
22209,-0.3539381343271214
6992,-0.3539381343271214
35641,-0.3539381343271214
31918,-0.3539381343271214
33024,-0.3539381343271214
